Metric,Loopback baseline,VM→Host,Overhead
TCP single-stream send (Gbps),131.28±5.43,67.83±1.41,+48.3%
TCP single-stream recv (Gbps),131.28±5.43,60.92±1.42,+53.6%
TCP parallel ×1 (Gbps),—,66.91±0.10,—
TCP parallel ×2 (Gbps),—,62.40±0.03,+6.7% vs ×1
TCP parallel ×4 (Gbps),—,46.63±0.61,+30.3% vs ×1
TCP parallel ×8 (Gbps),—,36.49±0.42,+45.5% vs ×1
UDP throughput VM→Host (Gbps),"~55 (sender, kernel buf)",6.97±0.10,NAT caps at ~7 Gbps
UDP packet loss VM→Host,0%,0.00%,NAT throttles cleanly
Small-msg TCP (Mbps),19.94,15.36,+23.0%
Ping avg RTT (ms),0.064±0.020,0.537±0.130,8.4× loopback
Ping min RTT (ms),0.018,0.183,10.2× loopback
